,autovalores
"('848.2',)",40068.38549295352
"('852r.3',)",33659.047489273755
"('864.1',)",26220.366320393634
"('888.1',)",23740.21440854894
"('890.3',)",14420.486819262367
"('890.1',)",14116.641145977113
"('852.1',)",12603.115390913721
"('890.2',)",7818.271125760534
"('888.2',)",6998.251005612252
"('856.2',)",4537.698286369404
"('888.3',)",4467.726844306739
"('848.1',)",3240.4549878205166
"('852r.2',)",3033.8543634933844
"('852.3',)",2738.0889023238897
"('852r.1',)",2489.2402613258623
"('838.2',)",2277.7687117974615
"('848.3',)",2052.827038628679
"('846.3',)",1861.728014901071
"('846.2',)",1641.5161032547337
"('846.1',)",1581.912279566784
"('852.2',)",1471.1039465880915
"('844.3',)",1395.2673997388038
"('844.2',)",1257.5493523696782
"('844.1',)",1062.9199429157352
"('862.3',)",997.8613625160883
"('840.3',)",975.0333005708713
"('862.1',)",964.0587389819384
"('862.2',)",957.2861791605981
"('840.2',)",864.9276227735871
"('840.1',)",796.8673154346009
"('836.3',)",727.3161541036343
"('836.2',)",711.9215118757219
"('836.1',)",508.99499586195685
"('842.1',)",439.8139177992149
"('842.2',)",379.89484825845767
"('842.3',)",376.72596467143575
"('860.3',)",324.2223097510063
"('860.2',)",314.33107834837233
"('860.1',)",298.3288672282874
"('834.3',)",260.92541194155865
"('834.1',)",250.30518417905216
"('834.2',)",242.69797088771122
"('858.3',)",230.6432928838252
"('832.3',)",214.6858443888741
"('858.2',)",212.44914867348282
"('858.1',)",194.4737969961671
"('832.2',)",183.16071323327094
"('854.1',)",173.05949049095517
"('854.3',)",145.51638248582051
"('854.2',)",139.87047830420792
"('830.2',)",137.73110605795415
"('832.1',)",127.927659744112
"('822.1',)",127.6144616611003
"('820.1',)",115.10976085234395
"('830.3',)",91.47653183464539
"('824.2',)",86.28203497617655
"('824.3',)",86.07371222233319
"('830.1',)",80.22658639034698
"('828.2',)",77.99625623694409
"('828.3',)",73.33398097712242
"('828.1',)",72.01666092717278
"('826.2',)",69.0418216728879
"('824.1',)",56.028465328965204
"('816.3',)",50.08296816742407
"('818.1',)",48.66673113501511
"('850.1',)",47.313522222311526
"('816.2',)",45.015713169689015
"('850.3',)",44.87006555409646
"('816.1',)",43.187319235355396
"('814r.3',)",33.13788016571042
"('814r.2',)",29.972820670997518
"('850.2',)",29.726646659578975
"('814r.1',)",28.047314192461563
"('812.1',)",25.051558600360142
"('810.2',)",24.524054314363664
"('808.3',)",24.255327364151967
"('814.1',)",23.328345103916476
"('812.3',)",21.309228918792872
"('814.3',)",21.09044861813213
"('812.2',)",18.574775238990185
"('814.2',)",18.40146529868872
"('806.3',)",15.51134843034201
"('808.2',)",14.78908529246733
"('806.2',)",14.408427424062952
"('808.1',)",14.29399811513284
"('802.3',)",10.487459000816655
"('806.1',)",10.180803418953301
"('802.2',)",9.151859995856219
"('802.1',)",8.866064241755772
"('800.3',)",0.5841763934962212
"('sourcebus.3',)",0.5796572823889401
"('800.2',)",0.41424747148543023
"('sourcebus.2',)",0.41106399132945276
"('800.1',)",0.3614112942830281
"('sourcebus.1',)",0.35862143386876383
