,autovalores
"('856.2',)",34724.207085782895
"('852.2',)",31160.282802281643
"('888.3',)",23822.955194570084
"('852r.3',)",17494.78160898168
"('890.1',)",13037.066748975574
"('838.2',)",12497.356530076733
"('852.1',)",11028.997832588791
"('890.3',)",5819.939110768198
"('888.1',)",5356.2531558095
"('864.1',)",3469.0673404487834
"('888.2',)",3368.137056537215
"('852.3',)",2761.3411480864447
"('852r.1',)",2502.243899800305
"('848.2',)",2150.75211743457
"('848.3',)",1895.8882941244678
"('852r.2',)",1806.3168158869034
"('848.1',)",1625.5753484210966
"('846.3',)",1413.3553388268851
"('890.2',)",1370.9131077757916
"('846.1',)",1185.529520197253
"('846.2',)",1125.2174532814004
"('844.2',)",1062.631299150926
"('844.3',)",937.2344629105698
"('862.3',)",819.8654672383724
"('844.1',)",795.0494996644222
"('862.1',)",755.6479324798654
"('862.2',)",748.4631284903907
"('840.3',)",724.6897981078521
"('840.2',)",702.2477620578612
"('840.1',)",634.5068512011903
"('836.3',)",606.6983482111832
"('860.2',)",531.7851625227064
"('842.3',)",389.0572106988447
"('836.2',)",332.74764089284105
"('842.2',)",323.0517460334023
"('836.1',)",310.3223961577517
"('842.1',)",270.7646810018714
"('860.3',)",263.2233321566246
"('860.1',)",228.55507447423332
"('834.3',)",203.74132643700614
"('834.2',)",189.578942057503
"('858.1',)",186.43784769525055
"('858.3',)",170.03355234644835
"('834.1',)",164.74693097403392
"('858.2',)",161.26723250515204
"('832.3',)",144.22134051998418
"('854.2',)",140.78515900281576
"('832.2',)",135.74730990892044
"('854.3',)",116.25251741380187
"('854.1',)",112.629678950356
"('828.1',)",101.60246538915659
"('832.1',)",95.39416645259004
"('826.2',)",94.05524204983058
"('822.1',)",84.94200109013182
"('830.3',)",72.07895004839405
"('830.2',)",71.0871749559006
"('830.1',)",70.3051293858351
"('828.2',)",69.12786375373304
"('828.3',)",65.56561071779862
"('824.2',)",63.66411448576864
"('820.1',)",58.04348954707724
"('824.3',)",51.28141553030318
"('824.1',)",43.42358293037261
"('850.2',)",40.44587295234445
"('816.3',)",39.883166562493734
"('818.1',)",39.08980544360414
"('816.1',)",36.301738583485374
"('816.2',)",35.084532532751
"('850.3',)",33.335395838969546
"('814r.3',)",26.078139754604244
"('814r.1',)",22.65492067068451
"('814r.2',)",22.214199396957444
"('850.1',)",22.0353659888946
"('812.1',)",18.906273584662664
"('808.2',)",18.28922729808728
"('808.1',)",17.91604829330314
"('812.3',)",17.25886341345966
"('814.1',)",16.47423294395647
"('814.3',)",16.284206009628356
"('812.2',)",15.179104633093862
"('814.2',)",15.053179682557774
"('806.3',)",12.365693258497853
"('806.2',)",11.495574788548872
"('810.2',)",10.960543184687118
"('808.3',)",10.59537377620349
"('802.3',)",8.096023604852563
"('806.1',)",7.87820860139731
"('802.2',)",7.486773949261272
"('802.1',)",7.240994009003036
"('800.3',)",0.4328729530527412
"('sourcebus.3',)",0.42952505782877076
"('800.2',)",0.31969519513341993
"('sourcebus.2',)",0.3172367776028557
"('800.1',)",0.2956857740467024
"('sourcebus.1',)",0.2934031600588902
