,autovalores
"('sourcebus.1',)",0.29670233476964397
"('sourcebus.2',)",0.320064129355749
"('sourcebus.3',)",0.43509625630249676
"('800.1',)",0.29901097410956534
"('800.2',)",0.3225439813808905
"('800.3',)",0.4384876258955504
"('802.1',)",7.32204931699364
"('802.2',)",7.571006535162662
"('802.3',)",11.64176961822572
"('806.1',)",7.948458295334626
"('806.2',)",8.16806449841551
"('806.3',)",12.453688051197709
"('808.1',)",11.102636126298973
"('808.2',)",10.73275264193151
"('808.3',)",18.153956173489476
"('810.2',)",18.529743505303728
"('812.1',)",19.13305556868867
"('812.2',)",15.34942346643424
"('812.3',)",16.620979507471972
"('814.1',)",17.484863848491162
"('814.2',)",15.22239995998176
"('814.3',)",16.429156085472254
"('814r.1',)",22.89996822247734
"('814r.2',)",22.502242691660932
"('814r.3',)",26.31338568065582
"('850.1',)",22.32087395105598
"('850.2',)",40.72039336049367
"('850.3',)",33.766690500042124
"('816.1',)",36.649633388904434
"('816.2',)",35.47130689458394
"('816.3',)",39.44066499442467
"('818.1',)",40.308324608835306
"('824.1',)",43.81986772774522
"('824.2',)",64.5069320365726
"('824.3',)",51.94378996176236
"('820.1',)",58.786842628251236
"('822.1',)",86.06658233498949
"('826.2',)",95.30580251826251
"('828.1',)",102.94939563530637
"('828.2',)",69.7934887458141
"('828.3',)",66.30161444619374
"('830.1',)",72.14130595247755
"('830.2',)",71.70588517918728
"('830.3',)",70.38999814429835
"('854.1',)",113.69857086280422
"('854.2',)",96.60862775022939
"('854.3',)",142.06582721356082
"('832.1',)",117.44118069485587
"('832.2',)",137.51689610348257
"('832.3',)",146.09428364839408
"('858.1',)",163.29194853195804
"('858.2',)",172.2921855397321
"('858.3',)",166.61694573908358
"('834.1',)",188.8260743322821
"('834.2',)",191.76697212745927
"('834.3',)",205.81487404096805
"('860.1',)",231.203468622616
"('860.2',)",265.55065582671045
"('860.3',)",272.5438829256559
"('842.1',)",325.32708509588036
"('842.2',)",312.98627350163144
"('842.3',)",336.7840367721978
"('836.1',)",393.4997093762855
"('836.2',)",538.7445836650102
"('836.3',)",611.9318803247636
"('840.1',)",640.7097824045843
"('840.2',)",709.2459781150512
"('840.3',)",733.7093269474996
"('862.1',)",762.9942714536347
"('862.2',)",757.7336632310042
"('862.3',)",826.1213110515756
"('844.1',)",804.6755428507958
"('844.2',)",949.1640731828302
"('844.3',)",1075.3438544934586
"('846.1',)",1200.3046406715976
"('846.2',)",1429.8905520981323
"('846.3',)",1644.1096176533083
"('848.1',)",2174.8654965180394
"('848.2',)",1918.80829548475
"('848.3',)",1138.3530141043746
"('852r.1',)",2523.003419402894
"('852r.2',)",1822.1570427328634
"('852r.3',)",17727.49717797943
"('888.1',)",23918.443770070742
"('888.2',)",34910.94961101953
"('888.3',)",3410.9806492421026
"('856.2',)",5418.912399538095
"('852.1',)",11099.529637723092
"('852.2',)",2779.6836454094087
"('852.3',)",31277.458803660316
"('864.1',)",3507.459701046704
"('838.2',)",1382.5370603861732
"('890.1',)",12566.24175915815
"('890.2',)",13097.794041519703
"('890.3',)",5894.657798975427
