,local,magnitude
matriz_diagonal_real_y_caso2_frequencia_100.0.csv,"('890.3',)",5072.968888503735
matriz_diagonal_real_y_caso2_frequencia_100.5.csv,"('890.1',)",5100.305284995818
matriz_diagonal_real_y_caso2_frequencia_1000.0.csv,"('864.1',)",26771.05728546223
matriz_diagonal_real_y_caso2_frequencia_1000.5.csv,"('838.2',)",26775.722013930193
matriz_diagonal_real_y_caso2_frequencia_1001.0.csv,"('838.2',)",26780.384774070026
matriz_diagonal_real_y_caso2_frequencia_1001.5.csv,"('864.1',)",26785.045569866055
matriz_diagonal_real_y_caso2_frequencia_1002.0.csv,"('864.1',)",26789.704405013526
matriz_diagonal_real_y_caso2_frequencia_1002.5.csv,"('838.2',)",26794.361283453305
matriz_diagonal_real_y_caso2_frequencia_1003.0.csv,"('864.1',)",26799.016208966972
matriz_diagonal_real_y_caso2_frequencia_1003.5.csv,"('890.1',)",26803.66918530186
matriz_diagonal_real_y_caso2_frequencia_1004.0.csv,"('864.1',)",26808.320216515483
matriz_diagonal_real_y_caso2_frequencia_1004.5.csv,"('864.1',)",26812.969306265364
matriz_diagonal_real_y_caso2_frequencia_1005.0.csv,"('852.3',)",26817.616458422995
matriz_diagonal_real_y_caso2_frequencia_1005.5.csv,"('838.2',)",26822.261676811533
matriz_diagonal_real_y_caso2_frequencia_1006.0.csv,"('852.2',)",26826.904965229845
matriz_diagonal_real_y_caso2_frequencia_1006.5.csv,"('890.1',)",26831.546327645872
matriz_diagonal_real_y_caso2_frequencia_1007.0.csv,"('852.3',)",26836.185767579573
matriz_diagonal_real_y_caso2_frequencia_1007.5.csv,"('890.2',)",26840.82328897651
matriz_diagonal_real_y_caso2_frequencia_1008.0.csv,"('890.2',)",26845.458895748427
matriz_diagonal_real_y_caso2_frequencia_1008.5.csv,"('838.2',)",26850.092591517256
matriz_diagonal_real_y_caso2_frequencia_1009.0.csv,"('838.2',)",26854.72438014711
matriz_diagonal_real_y_caso2_frequencia_1009.5.csv,"('838.2',)",26859.3542654244
matriz_diagonal_real_y_caso2_frequencia_101.0.csv,"('838.2',)",5127.656999455653
matriz_diagonal_real_y_caso2_frequencia_101.5.csv,"('838.2',)",5155.023517934288
matriz_diagonal_real_y_caso2_frequencia_1010.0.csv,"('890.1',)",26863.98225121777
matriz_diagonal_real_y_caso2_frequencia_1010.5.csv,"('890.1',)",26868.608341167183
matriz_diagonal_real_y_caso2_frequencia_1011.0.csv,"('864.1',)",26873.232539055763
matriz_diagonal_real_y_caso2_frequencia_1011.5.csv,"('890.2',)",26877.854848824467
matriz_diagonal_real_y_caso2_frequencia_1012.0.csv,"('890.2',)",26882.475274025735
matriz_diagonal_real_y_caso2_frequencia_1012.5.csv,"('864.1',)",26887.09381852039
matriz_diagonal_real_y_caso2_frequencia_1013.0.csv,"('864.1',)",26891.710486080345
matriz_diagonal_real_y_caso2_frequencia_1013.5.csv,"('838.2',)",26896.325280433975
matriz_diagonal_real_y_caso2_frequencia_1014.0.csv,"('890.2',)",26900.938205329727
matriz_diagonal_real_y_caso2_frequencia_1014.5.csv,"('864.1',)",26905.549264494777
matriz_diagonal_real_y_caso2_frequencia_1015.0.csv,"('890.1',)",26910.158461725052
matriz_diagonal_real_y_caso2_frequencia_1015.5.csv,"('864.1',)",26914.765800705063
matriz_diagonal_real_y_caso2_frequencia_1016.0.csv,"('890.1',)",26919.37128533857
matriz_diagonal_real_y_caso2_frequencia_1016.5.csv,"('890.2',)",26923.974918978096
matriz_diagonal_real_y_caso2_frequencia_1017.0.csv,"('890.2',)",26928.57670575564
matriz_diagonal_real_y_caso2_frequencia_1017.5.csv,"('890.1',)",26933.176649277797
matriz_diagonal_real_y_caso2_frequencia_1018.0.csv,"('890.2',)",26937.774753032532
matriz_diagonal_real_y_caso2_frequencia_1018.5.csv,"('890.2',)",26942.37102095949
matriz_diagonal_real_y_caso2_frequencia_1019.0.csv,"('890.1',)",26946.965456880636
matriz_diagonal_real_y_caso2_frequencia_1019.5.csv,"('890.2',)",26951.55806413777
matriz_diagonal_real_y_caso2_frequencia_102.0.csv,"('852.2',)",5182.404330740982
matriz_diagonal_real_y_caso2_frequencia_102.5.csv,"('838.2',)",5209.7989322506055
matriz_diagonal_real_y_caso2_frequencia_1020.0.csv,"('890.2',)",26956.148846805943
matriz_diagonal_real_y_caso2_frequencia_1020.5.csv,"('890.2',)",26960.737808379166
matriz_diagonal_real_y_caso2_frequencia_1021.0.csv,"('890.1',)",26965.32495256493
matriz_diagonal_real_y_caso2_frequencia_1021.5.csv,"('890.1',)",26969.91028306779
matriz_diagonal_real_y_caso2_frequencia_1022.0.csv,"('890.1',)",26974.493803688183
matriz_diagonal_real_y_caso2_frequencia_1022.5.csv,"('890.2',)",26979.0755178697
matriz_diagonal_real_y_caso2_frequencia_1023.0.csv,"('890.1',)",26983.655429610288
matriz_diagonal_real_y_caso2_frequencia_1023.5.csv,"('838.2',)",26988.233542305108
matriz_diagonal_real_y_caso2_frequencia_1024.0.csv,"('890.1',)",26992.809859792946
matriz_diagonal_real_y_caso2_frequencia_1024.5.csv,"('890.1',)",26997.384385690926
matriz_diagonal_real_y_caso2_frequencia_1025.0.csv,"('890.1',)",27001.95712371167
matriz_diagonal_real_y_caso2_frequencia_1025.5.csv,"('890.2',)",27006.528077364244
matriz_diagonal_real_y_caso2_frequencia_1026.0.csv,"('890.2',)",27011.09725056478
matriz_diagonal_real_y_caso2_frequencia_1026.5.csv,"('890.1',)",27015.664646705693
matriz_diagonal_real_y_caso2_frequencia_1027.0.csv,"('890.1',)",27020.230269669228
matriz_diagonal_real_y_caso2_frequencia_1027.5.csv,"('890.2',)",27024.794122806135
matriz_diagonal_real_y_caso2_frequencia_1028.0.csv,"('890.2',)",27029.35620997458
matriz_diagonal_real_y_caso2_frequencia_1028.5.csv,"('890.1',)",27033.916534911157
matriz_diagonal_real_y_caso2_frequencia_1029.0.csv,"('890.1',)",27038.475101109507
matriz_diagonal_real_y_caso2_frequencia_1029.5.csv,"('890.1',)",27043.031912162747
matriz_diagonal_real_y_caso2_frequencia_103.0.csv,"('864.1',)",5237.206820618743
matriz_diagonal_real_y_caso2_frequencia_103.5.csv,"('852.3',)",5264.627498381893
matriz_diagonal_real_y_caso2_frequencia_1030.0.csv,"('890.1',)",27047.586971777764
matriz_diagonal_real_y_caso2_frequencia_1030.5.csv,"('890.1',)",27052.140283636738
matriz_diagonal_real_y_caso2_frequencia_1031.0.csv,"('890.2',)",27056.691851174986
matriz_diagonal_real_y_caso2_frequencia_1031.5.csv,"('890.2',)",27061.241678163646
matriz_diagonal_real_y_caso2_frequencia_1032.0.csv,"('890.2',)",27065.789768168448
matriz_diagonal_real_y_caso2_frequencia_1032.5.csv,"('890.1',)",27070.336124811263
matriz_diagonal_real_y_caso2_frequencia_1033.0.csv,"('890.1',)",27074.880751812652
matriz_diagonal_real_y_caso2_frequencia_1033.5.csv,"('890.1',)",27079.4236525339
matriz_diagonal_real_y_caso2_frequencia_1034.0.csv,"('890.1',)",27083.96483080252
matriz_diagonal_real_y_caso2_frequencia_1034.5.csv,"('890.1',)",27088.50429018834
matriz_diagonal_real_y_caso2_frequencia_1035.0.csv,"('890.1',)",27093.042034030237
matriz_diagonal_real_y_caso2_frequencia_1035.5.csv,"('890.1',)",27097.57806624081
matriz_diagonal_real_y_caso2_frequencia_1036.0.csv,"('890.1',)",27102.112390322203
matriz_diagonal_real_y_caso2_frequencia_1036.5.csv,"('890.1',)",27106.645009707012
matriz_diagonal_real_y_caso2_frequencia_1037.0.csv,"('890.1',)",27111.17592817606
matriz_diagonal_real_y_caso2_frequencia_1037.5.csv,"('890.2',)",27115.705149217843
matriz_diagonal_real_y_caso2_frequencia_1038.0.csv,"('890.1',)",27120.232676446234
matriz_diagonal_real_y_caso2_frequencia_1038.5.csv,"('890.2',)",27124.758513351
matriz_diagonal_real_y_caso2_frequencia_1039.0.csv,"('890.2',)",27129.282663519774
matriz_diagonal_real_y_caso2_frequencia_1039.5.csv,"('890.1',)",27133.80513070884
matriz_diagonal_real_y_caso2_frequencia_104.0.csv,"('852.3',)",5292.060472033577
matriz_diagonal_real_y_caso2_frequencia_104.5.csv,"('890.3',)",5319.505252055731
matriz_diagonal_real_y_caso2_frequencia_1040.0.csv,"('890.2',)",27138.32591822985
matriz_diagonal_real_y_caso2_frequencia_1040.5.csv,"('890.2',)",27142.845029779048
matriz_diagonal_real_y_caso2_frequencia_1041.0.csv,"('890.2',)",27147.362468724266
matriz_diagonal_real_y_caso2_frequencia_1041.5.csv,"('890.2',)",27151.87823890261
matriz_diagonal_real_y_caso2_frequencia_1042.0.csv,"('852.3',)",27156.392343788444
matriz_diagonal_real_y_caso2_frequencia_1042.5.csv,"('890.1',)",27160.90478673625
matriz_diagonal_real_y_caso2_frequencia_1043.0.csv,"('890.2',)",27165.415571494916
matriz_diagonal_real_y_caso2_frequencia_1043.5.csv,"('890.2',)",27169.92470146905
matriz_diagonal_real_y_caso2_frequencia_1044.0.csv,"('890.2',)",27174.432180298525
matriz_diagonal_real_y_caso2_frequencia_1044.5.csv,"('890.2',)",27178.938011515227
matriz_diagonal_real_y_caso2_frequencia_1045.0.csv,"('890.2',)",27183.442198565735
matriz_diagonal_real_y_caso2_frequencia_1045.5.csv,"('890.2',)",27187.94474496773
matriz_diagonal_real_y_caso2_frequencia_1046.0.csv,"('890.2',)",27192.44565429286
matriz_diagonal_real_y_caso2_frequencia_1046.5.csv,"('890.2',)",27196.944930168644
matriz_diagonal_real_y_caso2_frequencia_1047.0.csv,"('890.2',)",27201.442575945126
matriz_diagonal_real_y_caso2_frequencia_1047.5.csv,"('890.2',)",27205.938595325177
matriz_diagonal_real_y_caso2_frequencia_1048.0.csv,"('890.2',)",27210.432991526523
matriz_diagonal_real_y_caso2_frequencia_1048.5.csv,"('890.1',)",27214.925768403857
matriz_diagonal_real_y_caso2_frequencia_1049.0.csv,"('890.2',)",27219.41692920343
matriz_diagonal_real_y_caso2_frequencia_1049.5.csv,"('890.1',)",27223.906477514036
matriz_diagonal_real_y_caso2_frequencia_105.0.csv,"('852.3',)",5346.961352798932
matriz_diagonal_real_y_caso2_frequencia_105.5.csv,"('890.2',)",5374.428292592846
matriz_diagonal_real_y_caso2_frequencia_1050.0.csv,"('890.1',)",27228.394416815503
matriz_diagonal_real_y_caso2_frequencia_1050.5.csv,"('890.1',)",27232.880750643344
matriz_diagonal_real_y_caso2_frequencia_1051.0.csv,"('890.1',)",27237.365482584748
matriz_diagonal_real_y_caso2_frequencia_1051.5.csv,"('890.2',)",27241.84861592356
matriz_diagonal_real_y_caso2_frequencia_1052.0.csv,"('890.2',)",27246.33015428513
matriz_diagonal_real_y_caso2_frequencia_1052.5.csv,"('890.1',)",27250.810101129504
matriz_diagonal_real_y_caso2_frequencia_1053.0.csv,"('890.2',)",27255.2884599367
matriz_diagonal_real_y_caso2_frequencia_1053.5.csv,"('890.1',)",27259.765234175724
matriz_diagonal_real_y_caso2_frequencia_1054.0.csv,"('838.2',)",27264.240427381275
matriz_diagonal_real_y_caso2_frequencia_1054.5.csv,"('890.1',)",27268.714042894426
matriz_diagonal_real_y_caso2_frequencia_1055.0.csv,"('890.2',)",27273.18608430405
matriz_diagonal_real_y_caso2_frequencia_1055.5.csv,"('890.2',)",27277.656555057212
matriz_diagonal_real_y_caso2_frequencia_1056.0.csv,"('890.2',)",27282.12545854473
matriz_diagonal_real_y_caso2_frequencia_1056.5.csv,"('890.1',)",27286.592798399855
matriz_diagonal_real_y_caso2_frequencia_1057.0.csv,"('890.1',)",27291.058577893822
matriz_diagonal_real_y_caso2_frequencia_1057.5.csv,"('890.2',)",27295.52280062874
matriz_diagonal_real_y_caso2_frequencia_1058.0.csv,"('838.2',)",27299.98547003419
matriz_diagonal_real_y_caso2_frequencia_1058.5.csv,"('890.2',)",27304.446589445484
matriz_diagonal_real_y_caso2_frequencia_1059.0.csv,"('890.2',)",27308.906162427076
matriz_diagonal_real_y_caso2_frequencia_1059.5.csv,"('890.2',)",27313.36419236701
matriz_diagonal_real_y_caso2_frequencia_106.0.csv,"('864.1',)",5401.905594045048
matriz_diagonal_real_y_caso2_frequencia_106.5.csv,"('852.3',)",5429.392783202509
matriz_diagonal_real_y_caso2_frequencia_1060.0.csv,"('890.2',)",27317.820682707155
matriz_diagonal_real_y_caso2_frequencia_1060.5.csv,"('890.2',)",27322.275636977967
matriz_diagonal_real_y_caso2_frequencia_1061.0.csv,"('890.2',)",27326.72905855432
matriz_diagonal_real_y_caso2_frequencia_1061.5.csv,"('890.2',)",27331.180950798655
matriz_diagonal_real_y_caso2_frequencia_1062.0.csv,"('890.2',)",27335.631317139712
matriz_diagonal_real_y_caso2_frequencia_1062.5.csv,"('890.1',)",27340.080161350794
matriz_diagonal_real_y_caso2_frequencia_1063.0.csv,"('890.2',)",27344.52748647992
matriz_diagonal_real_y_caso2_frequencia_1063.5.csv,"('890.2',)",27348.973296068016
matriz_diagonal_real_y_caso2_frequencia_1064.0.csv,"('890.1',)",27353.41759351329
matriz_diagonal_real_y_caso2_frequencia_1064.5.csv,"('890.2',)",27357.8603822903
matriz_diagonal_real_y_caso2_frequencia_1065.0.csv,"('890.1',)",27362.30166580978
matriz_diagonal_real_y_caso2_frequencia_1065.5.csv,"('890.2',)",27366.741447516353
matriz_diagonal_real_y_caso2_frequencia_1066.0.csv,"('890.2',)",27371.17973062328
matriz_diagonal_real_y_caso2_frequencia_1066.5.csv,"('890.2',)",27375.616518765848
matriz_diagonal_real_y_caso2_frequencia_1067.0.csv,"('890.2',)",27380.051815255294
matriz_diagonal_real_y_caso2_frequencia_1067.5.csv,"('890.2',)",27384.48562359357
matriz_diagonal_real_y_caso2_frequencia_1068.0.csv,"('890.2',)",27388.917947085003
matriz_diagonal_real_y_caso2_frequencia_1068.5.csv,"('890.1',)",27393.348789119365
matriz_diagonal_real_y_caso2_frequencia_1069.0.csv,"('864.1',)",27397.778153168016
matriz_diagonal_real_y_caso2_frequencia_1069.5.csv,"('890.2',)",27402.206042587324
matriz_diagonal_real_y_caso2_frequencia_107.0.csv,"('890.2',)",5456.889390009796
matriz_diagonal_real_y_caso2_frequencia_107.5.csv,"('852.3',)",5484.394948978875
matriz_diagonal_real_y_caso2_frequencia_1070.0.csv,"('890.2',)",27406.632460726116
matriz_diagonal_real_y_caso2_frequencia_1070.5.csv,"('890.2',)",27411.057411033886
matriz_diagonal_real_y_caso2_frequencia_1071.0.csv,"('890.2',)",27415.480896967758
matriz_diagonal_real_y_caso2_frequencia_1071.5.csv,"('890.1',)",27419.902921755012
matriz_diagonal_real_y_caso2_frequencia_1072.0.csv,"('890.2',)",27424.32348883352
matriz_diagonal_real_y_caso2_frequencia_1072.5.csv,"('890.2',)",27428.74260166453
matriz_diagonal_real_y_caso2_frequencia_1073.0.csv,"('890.2',)",27433.160263556754
matriz_diagonal_real_y_caso2_frequencia_1073.5.csv,"('890.2',)",27437.576477848863
matriz_diagonal_real_y_caso2_frequencia_1074.0.csv,"('890.2',)",27441.99124804733
matriz_diagonal_real_y_caso2_frequencia_1074.5.csv,"('890.2',)",27446.40457744059
matriz_diagonal_real_y_caso2_frequencia_1075.0.csv,"('890.2',)",27450.81646938
matriz_diagonal_real_y_caso2_frequencia_1075.5.csv,"('890.2',)",27455.226927311604
matriz_diagonal_real_y_caso2_frequencia_1076.0.csv,"('890.1',)",27459.63595452081
matriz_diagonal_real_y_caso2_frequencia_1076.5.csv,"('890.2',)",27464.043554275067
matriz_diagonal_real_y_caso2_frequencia_1077.0.csv,"('890.2',)",27468.44973019623
matriz_diagonal_real_y_caso2_frequencia_1077.5.csv,"('890.1',)",27472.854485390017
matriz_diagonal_real_y_caso2_frequencia_1078.0.csv,"('890.2',)",27477.257823504933
matriz_diagonal_real_y_caso2_frequencia_1078.5.csv,"('890.1',)",27481.659747606467
matriz_diagonal_real_y_caso2_frequencia_1079.0.csv,"('890.2',)",27486.060261149665
matriz_diagonal_real_y_caso2_frequencia_1079.5.csv,"('852.3',)",27490.459367505657
matriz_diagonal_real_y_caso2_frequencia_108.0.csv,"('864.1',)",5511.9089972064085
matriz_diagonal_real_y_caso2_frequencia_108.5.csv,"('890.3',)",5539.4310766385
matriz_diagonal_real_y_caso2_frequencia_1080.0.csv,"('838.2',)",27494.857070047157
matriz_diagonal_real_y_caso2_frequencia_1080.5.csv,"('890.2',)",27499.25337207415
matriz_diagonal_real_y_caso2_frequencia_1081.0.csv,"('890.2',)",27503.648276834105
matriz_diagonal_real_y_caso2_frequencia_1081.5.csv,"('890.2',)",27508.04178793321
matriz_diagonal_real_y_caso2_frequencia_1082.0.csv,"('890.2',)",27512.4339084391
matriz_diagonal_real_y_caso2_frequencia_1082.5.csv,"('890.1',)",27516.824641820596
matriz_diagonal_real_y_caso2_frequencia_1083.0.csv,"('890.2',)",27521.213991441557
matriz_diagonal_real_y_caso2_frequencia_1083.5.csv,"('890.2',)",27525.60196050799
matriz_diagonal_real_y_caso2_frequencia_1084.0.csv,"('890.1',)",27529.988552459865
matriz_diagonal_real_y_caso2_frequencia_1084.5.csv,"('890.2',)",27534.373770603695
matriz_diagonal_real_y_caso2_frequencia_1085.0.csv,"('864.1',)",27538.75761829366
matriz_diagonal_real_y_caso2_frequencia_1085.5.csv,"('890.2',)",27543.140098801352
matriz_diagonal_real_y_caso2_frequencia_1086.0.csv,"('890.2',)",27547.521215376644
matriz_diagonal_real_y_caso2_frequencia_1086.5.csv,"('890.2',)",27551.90097161015
matriz_diagonal_real_y_caso2_frequencia_1087.0.csv,"('864.1',)",27556.27937058738
matriz_diagonal_real_y_caso2_frequencia_1087.5.csv,"('838.2',)",27560.656415674963
matriz_diagonal_real_y_caso2_frequencia_1088.0.csv,"('864.1',)",27565.03211014797
matriz_diagonal_real_y_caso2_frequencia_1088.5.csv,"('864.1',)",27569.40645753328
matriz_diagonal_real_y_caso2_frequencia_1089.0.csv,"('864.1',)",27573.77946079754
matriz_diagonal_real_y_caso2_frequencia_1089.5.csv,"('864.1',)",27578.15112356899
matriz_diagonal_real_y_caso2_frequencia_109.0.csv,"('890.3',)",5566.960732693935
matriz_diagonal_real_y_caso2_frequencia_109.5.csv,"('890.3',)",5594.497514293889
matriz_diagonal_real_y_caso2_frequencia_1090.0.csv,"('864.1',)",27582.521448983807
matriz_diagonal_real_y_caso2_frequencia_1090.5.csv,"('838.2',)",27586.890440379666
matriz_diagonal_real_y_caso2_frequencia_1091.0.csv,"('864.1',)",27591.2581009789
matriz_diagonal_real_y_caso2_frequencia_1091.5.csv,"('864.1',)",27595.624434211957
matriz_diagonal_real_y_caso2_frequencia_1092.0.csv,"('864.1',)",27599.989443504717
matriz_diagonal_real_y_caso2_frequencia_1092.5.csv,"('864.1',)",27604.35313175117
matriz_diagonal_real_y_caso2_frequencia_1093.0.csv,"('864.1',)",27608.715502662715
matriz_diagonal_real_y_caso2_frequencia_1093.5.csv,"('864.1',)",27613.076559385892
matriz_diagonal_real_y_caso2_frequencia_1094.0.csv,"('864.1',)",27617.436305077328
matriz_diagonal_real_y_caso2_frequencia_1094.5.csv,"('864.1',)",27621.7947432478
matriz_diagonal_real_y_caso2_frequencia_1095.0.csv,"('864.1',)",27626.151876954962
matriz_diagonal_real_y_caso2_frequencia_1095.5.csv,"('864.1',)",27630.507709676614
matriz_diagonal_real_y_caso2_frequencia_1096.0.csv,"('864.1',)",27634.86224470206
matriz_diagonal_real_y_caso2_frequencia_1096.5.csv,"('864.1',)",27639.215485116387
matriz_diagonal_real_y_caso2_frequencia_1097.0.csv,"('864.1',)",27643.567434368528
matriz_diagonal_real_y_caso2_frequencia_1097.5.csv,"('890.1',)",27647.918095879526
matriz_diagonal_real_y_caso2_frequencia_1098.0.csv,"('890.1',)",27652.267472658223
matriz_diagonal_real_y_caso2_frequencia_1098.5.csv,"('890.1',)",27656.615568122175
matriz_diagonal_real_y_caso2_frequencia_1099.0.csv,"('890.1',)",27660.962385550698
matriz_diagonal_real_y_caso2_frequencia_1099.5.csv,"('864.1',)",27665.30792809995
matriz_diagonal_real_y_caso2_frequencia_110.0.csv,"('890.3',)",5622.040974466728
matriz_diagonal_real_y_caso2_frequencia_110.5.csv,"('838.2',)",5649.590669923131
matriz_diagonal_real_y_caso2_frequencia_1100.0.csv,"('890.1',)",27669.65219914766
matriz_diagonal_real_y_caso2_frequencia_1100.5.csv,"('890.1',)",27673.99520198285
matriz_diagonal_real_y_caso2_frequencia_1101.0.csv,"('890.2',)",27678.336939845824
matriz_diagonal_real_y_caso2_frequencia_1101.5.csv,"('890.2',)",27682.677415926835
matriz_diagonal_real_y_caso2_frequencia_1102.0.csv,"('890.1',)",27687.016633684514
matriz_diagonal_real_y_caso2_frequencia_1102.5.csv,"('890.2',)",27691.354596206453
