,autovalores
"('890.3',)",16820.99244977815
"('852.3',)",9077.65721213892
"('852.2',)",7877.407365698365
"('864.1',)",2777.485846597378
"('848.2',)",1088.3956724013751
"('848.1',)",994.601924072761
"('846.3',)",721.3039990190834
"('848.3',)",476.19255278767247
"('890.2',)",390.44521930915914
"('852r.1',)",326.9005674171266
"('890.1',)",296.70541881200404
"('838.2',)",228.19199310748297
"('852r.2',)",213.4063482024636
"('888.2',)",154.17275043948646
"('888.1',)",149.29028719455076
"('852.1',)",137.93879592477427
"('852r.3',)",130.36334261417807
"('856.2',)",114.18592233026123
"('846.2',)",100.81271233730915
"('846.1',)",90.35086837218876
"('888.3',)",87.36482370553567
"('844.3',)",83.4241751683019
"('844.2',)",72.20045960145427
"('862.1',)",68.09045885108902
"('862.3',)",57.08418603844218
"('844.1',)",54.468606304725284
"('862.2',)",52.71345321443007
"('840.3',)",49.32712411919865
"('840.1',)",44.39972547324267
"('836.3',)",41.61531375173975
"('840.2',)",40.621846715892595
"('836.2',)",38.80627520642461
"('836.1',)",31.63240721935361
"('842.3',)",30.96354299927826
"('842.2',)",29.79584879293594
"('842.1',)",29.627415559712123
"('834.3',)",23.23341763636762
"('860.3',)",21.200427007513586
"('860.2',)",20.829028763541306
"('860.1',)",16.452376940047223
"('834.2',)",15.467143335485067
"('858.3',)",12.742043569226182
"('858.1',)",12.564168302035725
"('834.1',)",11.250140527947208
"('832.3',)",9.969929348901875
"('858.2',)",9.61328828459101
"('832.1',)",9.437177467546961
"('832.2',)",8.573873977756577
"('828.2',)",7.211981643924611
"('828.3',)",7.134654913913972
"('830.1',)",7.042755795220133
"('854.2',)",6.806338860130997
"('854.3',)",6.536224164559142
"('830.3',)",5.991842726351862
"('854.1',)",5.9471052669706435
"('830.2',)",5.791155292988087
"('826.2',)",5.352818392800584
"('828.1',)",4.262124728829219
"('818.1',)",4.240156925767098
"('816.3',)",3.8992506528733655
"('820.1',)",3.793016823698903
"('850.3',)",3.548841207318653
"('822.1',)",3.1314893388843217
"('824.3',)",3.013393488904121
"('850.2',)",2.745883547720965
"('816.1',)",2.5791566842921614
"('824.1',)",2.5743728549444116
"('824.2',)",2.560404528291923
"('816.2',)",2.306160646847736
"('850.1',)",1.888739023960279
"('814r.2',)",1.837093973587228
"('814r.3',)",1.6940235347221022
"('814.2',)",1.5237234884516615
"('814.3',)",1.2728546222593196
"('814r.1',)",1.2304333095281321
"('812.3',)",1.1184095568044383
"('812.2',)",0.9782015408448292
"('814.1',)",0.9681597423778083
"('808.2',)",0.8939821877042379
"('810.2',)",0.7683770888193258
"('808.1',)",0.7557811398742952
"('806.3',)",0.7402647738761152
"('808.3',)",0.7185301750830119
"('812.1',)",0.7111546827225311
"('802.3',)",0.5512966732496428
"('806.1',)",0.4813069365733786
"('806.2',)",0.46749656658148414
"('802.2',)",0.3535352765726622
"('802.1',)",0.3433967885555569
"('800.3',)",0.050174754773000416
"('800.1',)",0.04978485874371771
"('800.2',)",0.01899908270862505
"('sourcebus.2',)",0.018851922172257167
"('sourcebus.3',)",0.013958577745089091
"('sourcebus.1',)",0.013851131240836976
