,autovalores
"('890.3',)",18515.760602130136
"('838.2',)",10759.716082858322
"('864.1',)",9330.64185503508
"('890.1',)",3348.4813605016448
"('852r.3',)",1444.8744071568715
"('852r.2',)",1294.7847379327288
"('852r.1',)",987.1096138419393
"('888.1',)",588.4384652387442
"('890.2',)",489.13625842052426
"('852.3',)",413.0426540564787
"('888.3',)",386.06045528271153
"('852.2',)",285.2245937317004
"('888.2',)",279.2101763605235
"('848.1',)",205.1986543943301
"('848.2',)",194.52437093013086
"('852.1',)",169.74785223692936
"('848.3',)",162.84227551238408
"('846.2',)",147.0387387760478
"('846.1',)",128.35844503026433
"('844.3',)",116.20078930539907
"('856.2',)",102.5177824077804
"('846.3',)",101.34048872388409
"('844.2',)",94.93382312884928
"('844.1',)",90.61223075489546
"('840.2',)",74.94833454879074
"('862.1',)",70.13447291374769
"('840.3',)",67.54681476087539
"('840.1',)",64.8866359860671
"('862.3',)",55.29500201806015
"('862.2',)",55.2481374716996
"('836.3',)",51.085851498378744
"('836.2',)",50.56104768951887
"('842.3',)",41.930315162723765
"('836.1',)",41.75845786493293
"('842.2',)",37.850087610301436
"('842.1',)",36.97184068844327
"('860.1',)",31.36767227925169
"('860.3',)",27.100527908893277
"('860.2',)",26.741528264287922
"('834.3',)",21.28637319046015
"('834.2',)",20.59352008247902
"('858.3',)",16.778132653717144
"('832.3',)",16.071593995543203
"('834.1',)",13.812924183311111
"('858.2',)",12.779942274844924
"('858.1',)",12.715589564734923
"('832.1',)",12.4937332273807
"('832.2',)",11.426143577773495
"('828.3',)",9.811455611562174
"('830.1',)",9.61777610489987
"('854.3',)",8.901312843160547
"('830.2',)",8.663510375335013
"('854.2',)",8.373187911574524
"('854.1',)",8.123078739315645
"('830.3',)",7.846089300103933
"('828.2',)",7.315735521591861
"('826.2',)",7.0086606758492085
"('816.3',)",5.768126587351499
"('828.1',)",5.700686755590698
"('816.2',)",5.327797773403023
"('816.1',)",4.828549133275776
"('820.1',)",4.677055303888048
"('822.1',)",4.155194390875071
"('824.3',)",3.8832096417312547
"('850.2',)",3.709096555941944
"('824.1',)",3.4432637013890286
"('850.3',)",3.1675576533211345
"('824.2',)",3.144089138803774
"('818.1',)",3.0842918640418895
"('850.1',)",2.5059551941918743
"('814r.2',)",2.2733759323538916
"('814r.3',)",2.2472895809942957
"('814r.1',)",2.0369168522527707
"('814.2',)",1.5630414398764922
"('814.3',)",1.5113186530674918
"('812.3',)",1.482900420560956
"('812.2',)",1.3086749844532506
"('814.1',)",1.2952880120028476
"('808.2',)",1.218170824209289
"('808.1',)",1.0344363992938586
"('808.3',)",1.0283308761138479
"('806.3',)",1.012632521148105
"('810.2',)",0.953560662277292
"('812.1',)",0.9438210244709885
"('802.3',)",0.7308628645490833
"('806.2',)",0.6439389704390548
"('806.1',)",0.6254220270170814
"('802.2',)",0.46920249806373565
"('802.1',)",0.4557098345230544
"('800.3',)",0.06162800020355822
"('800.1',)",0.061149670766227585
"('800.2',)",0.025419467044786485
"('sourcebus.2',)",0.02522260498796442
"('sourcebus.3',)",0.018525886787924196
"('sourcebus.1',)",0.018383286512753838
