,autovalores
"('sourcebus.1',)",0.4918944484388663
"('sourcebus.2',)",0.7703061381927907
"('sourcebus.3',)",1.0904536498274648
"('800.1',)",0.4957142644424188
"('800.2',)",0.7762766405526637
"('800.3',)",1.098956125493266
"('802.1',)",12.17316260238947
"('802.2',)",12.551240971041711
"('802.3',)",19.735407073070295
"('806.1',)",19.02220002128311
"('806.2',)",19.645471640109385
"('806.3',)",25.49232190060475
"('808.1',)",28.548307602337335
"('808.2',)",25.235159107965274
"('808.3',)",41.199110540877065
"('810.2',)",26.841254988580424
"('812.1',)",27.805761650616287
"('812.2',)",46.01213745438496
"('812.3',)",47.123413048180154
"('814.1',)",39.11762470453866
"('814.2',)",39.860574800771005
"('814.3',)",43.85389023839759
"('814r.1',)",39.489509678010755
"('814r.2',)",66.6225390456687
"('814r.3',)",60.08090704509655
"('850.1',)",56.32004016282333
"('850.2',)",59.59985044590232
"('850.3',)",55.85395908173037
"('816.1',)",65.88843483930599
"('816.2',)",69.87020043659642
"('816.3',)",83.24683534685089
"('818.1',)",75.00717012135306
"('824.1',)",74.30682127172639
"('824.2',)",92.26744910457842
"('824.3',)",103.51867137233853
"('820.1',)",134.2900125920558
"('822.1',)",109.68449447587112
"('826.2',)",162.80840793926967
"('828.1',)",128.51581463828668
"('828.2',)",144.69609551302707
"('828.3',)",168.77549705191635
"('830.1',)",241.20950412347233
"('830.2',)",261.73706382815817
"('830.3',)",259.3549642479446
"('854.1',)",217.04460532946197
"('854.2',)",217.9289645270171
"('854.3',)",218.70302499746126
"('832.1',)",235.66999198976956
"('832.2',)",334.70909538451855
"('832.3',)",343.2243076543126
"('858.1',)",364.339057689466
"('858.2',)",382.9320603953251
"('858.3',)",386.06061440066253
"('834.1',)",534.32987864279
"('834.2',)",464.0509047312855
"('834.3',)",435.82632145417523
"('860.1',)",423.7968999152578
"('860.2',)",445.55349894122656
"('860.3',)",551.3815393490222
"('842.1',)",503.95246909231486
"('842.2',)",557.4067577788974
"('842.3',)",791.0138262294175
"('836.1',)",990.6836646493078
"('836.2',)",912.1246945845849
"('836.3',)",1159.9590608882413
"('840.1',)",1299.3588152653685
"('840.2',)",1319.0482453764962
"('840.3',)",1359.3977314601839
"('862.1',)",1732.8842859413085
"('862.2',)",1788.7267380811606
"('862.3',)",1843.8972114263413
"('844.1',)",1903.1455121164754
"('844.2',)",2211.347710944685
"('844.3',)",2492.0112196947575
"('846.1',)",44891.616283167175
"('846.2',)",56740.94628727824
"('846.3',)",2841.7823166631183
"('848.1',)",2931.1849304764123
"('848.2',)",39664.30751762495
"('848.3',)",32286.115093266595
"('852r.1',)",8305.833767889786
"('852r.2',)",7675.624575210792
"('852r.3',)",5254.275242566733
"('888.1',)",3426.3509101010777
"('888.2',)",2589.569678047791
"('888.3',)",4660.831429251649
"('856.2',)",2343.8360309342097
"('852.1',)",4515.616312550777
"('852.2',)",3950.8552364718594
"('852.3',)",3560.1627033042414
"('864.1',)",17831.710098792115
"('838.2',)",15598.761624491337
"('890.1',)",11973.385611114312
"('890.2',)",14406.50705346508
"('890.3',)",17446.150133788677
