,autovalores
"('852r.2',)",48905.32583667925
"('852.3',)",36824.87743259122
"('852r.3',)",34328.32428007274
"('888.2',)",29606.668236981335
"('890.1',)",16214.76850762087
"('890.3',)",16072.659800143743
"('888.3',)",14334.747477198807
"('890.2',)",11170.784607548367
"('888.1',)",9599.463841689765
"('848.1',)",6447.050506553107
"('848.2',)",6130.405944973762
"('852r.1',)",4217.527687715906
"('864.1',)",3810.118907658993
"('852.1',)",3643.9818655324475
"('852.2',)",3207.5487035280885
"('838.2',)",3121.8277011007235
"('856.2',)",2727.5829188669677
"('846.3',)",2449.3000419904765
"('846.2',)",2251.5129994465974
"('848.3',)",2081.45216941538
"('846.1',)",2003.3816629293297
"('844.2',)",1884.158803257566
"('844.3',)",1800.7386681056705
"('844.1',)",1494.4309717395201
"('862.3',)",1421.2719111613037
"('862.2',)",1386.2888789520223
"('862.1',)",1348.3896575786785
"('840.3',)",1148.2534156874412
"('840.2',)",1107.777071782991
"('840.1',)",1043.1298307586258
"('836.3',)",994.6309761250409
"('836.2',)",868.5254078974455
"('836.1',)",712.3165019602634
"('842.3',)",617.2990587396015
"('860.2',)",471.4514411149432
"('834.3',)",462.42571198221395
"('842.2',)",436.76614641111235
"('860.3',)",403.0199794123335
"('842.1',)",374.4148183051797
"('860.1',)",358.1548120443797
"('834.2',)",357.7661752771048
"('858.3',)",333.37140295107974
"('834.1',)",317.93699846131204
"('832.2',)",301.1880537863513
"('858.2',)",281.7652845305434
"('858.1',)",278.6866725100316
"('832.3',)",263.2028958555281
"('854.2',)",220.35263076720372
"('830.2',)",198.88191194931267
"('854.3',)",185.82805791850532
"('830.1',)",184.49535182659554
"('832.1',)",182.38715962326987
"('854.1',)",181.0072622108521
"('828.3',)",166.18463376361657
"('830.3',)",130.28166846897537
"('820.1',)",124.60715296535032
"('828.2',)",111.60470806608848
"('828.1',)",111.56074659416423
"('826.2',)",99.02371769197535
"('822.1',)",96.49290938053731
"('824.1',)",79.78590973737384
"('824.2',)",74.42718616824794
"('824.3',)",73.51219894950933
"('818.1',)",71.13131329972366
"('816.2',)",64.2102217174405
"('816.3',)",59.417353553309
"('814r.2',)",57.45042746836951
"('816.1',)",57.148048339297326
"('850.3',)",52.31365255691081
"('814r.3',)",46.576270549979334
"('850.1',)",43.16259499319935
"('850.2',)",42.806056831844565
"('810.2',)",36.058106067359624
"('808.3',)",35.19560786783501
"('814.2',)",34.24499575579358
"('814.3',)",33.61026155208773
"('808.2',)",33.392427391330976
"('814.1',)",30.558776031569213
"('814r.1',)",30.26669039146619
"('808.1',)",22.402007208131838
"('812.3',)",22.180332462865582
"('806.3',)",22.093730832100285
"('812.2',)",21.303124421124522
"('812.1',)",20.57750533576633
"('802.3',)",17.331214453218738
"('806.2',)",15.05419773216776
"('806.1',)",14.588995094963055
"('802.2',)",11.031369994996922
"('802.1',)",10.696627421351623
"('800.3',)",0.8417209390376272
"('sourcebus.3',)",0.8352088166220335
"('800.2',)",0.5947499348484487
"('sourcebus.2',)",0.5901763145579375
"('800.1',)",0.43566255015061184
"('sourcebus.1',)",0.43230373676824774
