,autovalores
"('sourcebus.1',)",0.3276879563481385
"('sourcebus.2',)",0.35553565189458575
"('sourcebus.3',)",0.4967221714949369
"('800.1',)",0.330240061624373
"('800.2',)",0.35828590850108805
"('800.3',)",0.5005951738772064
"('802.1',)",8.091488656773523
"('802.2',)",8.362289419164775
"('802.3',)",9.071702024681315
"('806.1',)",8.820143977639002
"('806.2',)",13.478186018373446
"('806.3',)",13.157105576686293
"('808.1',)",20.77542536156728
"('808.2',)",21.15524380561496
"('808.3',)",12.251506787863836
"('810.2',)",12.674149439599733
"('812.1',)",21.626574295891185
"('812.2',)",16.959776232625032
"('812.3',)",19.982943338723846
"('814.1',)",18.449625553855988
"('814.2',)",16.813114838946653
"('814.3',)",18.24577764551324
"('814r.1',)",25.360320389071216
"('814r.2',)",25.688054908570557
"('814r.3',)",29.060318070150466
"('850.1',)",43.643055358714044
"('850.2',)",25.478251574065688
"('850.3',)",38.51823975727205
"('816.1',)",40.356816992732305
"('816.2',)",39.25382654972129
"('816.3',)",43.644374734052285
"('818.1',)",44.4056647439021
"('824.1',)",48.65444268825112
"('824.2',)",73.80589917504166
"('824.3',)",77.03506162439054
"('820.1',)",59.251547821668744
"('822.1',)",98.47186236565965
"('826.2',)",109.10291929098736
"('828.1',)",117.80658416746711
"('828.2',)",66.9943422860895
"('828.3',)",79.40061278594942
"('830.1',)",71.20004017673597
"('830.2',)",73.27671422236453
"('830.3',)",72.7357901001396
"('854.1',)",125.19537140059006
"('854.2',)",110.00426209204782
"('854.3',)",155.76589565962595
"('832.1',)",130.29049947889123
"('832.2',)",157.62974000743856
"('832.3',)",167.37292462243835
"('858.1',)",185.90660026046814
"('858.2',)",187.2200095498813
"('858.3',)",197.74089656417763
"('834.1',)",215.69562263280983
"('834.2',)",214.890223615433
"('834.3',)",228.97717935515632
"('860.1',)",260.2713470485051
"('860.2',)",290.6567983785288
"('860.3',)",291.3429740076559
"('842.1',)",349.5477944647307
"('842.2',)",341.32274011818265
"('842.3',)",380.86380476417037
"('836.1',)",442.4065721542197
"('836.2',)",615.1589069948581
"('836.3',)",663.3566422519767
"('840.1',)",710.0822585376343
"('840.2',)",779.7326310515527
"('840.3',)",833.7638277565453
"('862.1',)",848.0628044784826
"('862.2',)",860.2100411213685
"('862.3',)",883.3048071815247
"('844.1',)",918.4235181370032
"('844.2',)",1080.8126295552413
"('844.3',)",1213.9751504958558
"('846.1',)",1363.678965791041
"('846.2',)",1616.7888055502306
"('846.3',)",1498.890344128589
"('848.1',)",1835.5940274630934
"('848.2',)",2167.0837568307375
"('848.3',)",2428.431977468616
"('852r.1',)",2975.2727604145316
"('852r.2',)",3878.9500451844733
"('852r.3',)",3932.8472122437647
"('888.1',)",6104.3182583689095
"('888.2',)",20295.06929056783
"('888.3',)",37052.75447790976
"('856.2',)",32373.539749025742
"('852.1',)",24914.82048826111
"('852.2',)",1281.988663506654
"('852.3',)",11833.18348955514
"('864.1',)",2005.6425301902998
"('838.2',)",2742.7352302539366
"('890.1',)",13301.1788592808
"('890.2',)",13751.349098190522
"('890.3',)",6717.6877225772005
