,autovalores
"('848.2',)",55750.29220620411
"('848.3',)",43554.80325803108
"('852r.1',)",39264.53659811926
"('852r.2',)",31941.209726327586
"('890.1',)",17657.837380001263
"('890.3',)",17299.300308958067
"('838.2',)",15458.012772380776
"('890.2',)",14015.265252714747
"('852r.3',)",11693.960547614965
"('846.3',)",8080.410339654697
"('848.1',)",7481.804376519134
"('888.1',)",5122.060190398788
"('852.3',)",4538.733744886558
"('864.1',)",4410.455070320722
"('888.3',)",3860.055727340142
"('852.2',)",3502.2132784873006
"('856.2',)",3348.7772377015513
"('846.2',)",2862.8799384813924
"('846.1',)",2781.122015329058
"('888.2',)",2525.45972819028
"('844.3',)",2431.4986739383553
"('852.1',)",2275.286644587196
"('844.2',)",2175.0473193474186
"('862.3',)",1852.4885444438166
"('844.1',)",1790.4079799607084
"('862.2',)",1738.335052900622
"('862.1',)",1683.6440665721075
"('840.1',)",1322.304185460353
"('840.3',)",1292.6943189126764
"('840.2',)",1279.0241550204896
"('836.3',)",1141.1367480439485
"('836.2',)",976.6350027601873
"('836.1',)",886.5924486969265
"('842.3',)",768.7472195170888
"('842.2',)",542.0581304330723
"('842.1',)",541.8522039994399
"('834.3',)",525.6527870194253
"('860.3',)",491.07103821447623
"('834.2',)",451.9687627519361
"('860.1',)",435.43661191570345
"('834.1',)",424.0040713561675
"('860.2',)",417.97578411387343
"('858.3',)",378.1511270962799
"('858.1',)",373.6520930017086
"('858.2',)",354.95066951530436
"('832.3',)",334.7604333320045
"('832.2',)",328.5799402202506
"('854.1',)",256.5447490625636
"('830.3',)",251.92777178056616
"('830.2',)",234.0361549389929
"('832.1',)",228.98673233041728
"('854.3',)",215.02779956537455
"('854.2',)",213.4315578350153
"('830.1',)",210.61366039730007
"('828.3',)",163.93086612749514
"('820.1',)",157.97592283802993
"('828.2',)",140.53337426364993
"('822.1',)",131.63843095211024
"('828.1',)",124.79533315622739
"('826.2',)",108.13735381468359
"('824.3',)",100.52455718684753
"('824.2',)",89.59890137731544
"('816.3',)",80.85116715373498
"('824.1',)",74.94922029850645
"('818.1',)",74.22740034574382
"('816.2',)",68.56502593388264
"('814r.2',)",65.49323422144478
"('816.1',)",64.90887047604909
"('850.3',)",58.742977738449795
"('814r.3',)",58.37904453925369
"('850.1',)",54.65545505931086
"('850.2',)",54.20326540890128
"('812.3',)",45.72239206094952
"('812.2',)",44.64285253614026
"('814.3',)",42.5658991516062
"('808.3',)",40.266605439500964
"('814.2',)",38.68339125579362
"('814.1',)",38.545025901092416
"('814r.1',)",38.32177694980095
"('808.1',)",27.74109547171099
"('810.2',)",26.982874324285444
"('812.1',)",26.049029087368826
"('806.3',)",25.128362540444723
"('808.2',)",24.87535287348009
"('802.3',)",19.452986316482782
"('806.2',)",19.064063735538205
"('806.1',)",18.460968425921642
"('802.2',)",12.37221276011619
"('802.1',)",11.999285240205317
"('800.3',)",1.066409355514953
"('sourcebus.3',)",1.0581571517345514
"('800.2',)",0.7532922933407196
"('sourcebus.2',)",0.7475004324830791
"('800.1',)",0.48864324183384916
"('sourcebus.1',)",0.48487768485993943
