,autovalores
"('852r.3',)",50786.72352423079
"('852.2',)",37466.11347899947
"('888.2',)",36808.45585608805
"('888.3',)",30255.848873024155
"('890.2',)",16639.070674317023
"('890.3',)",16438.47195410737
"('852.1',)",14670.032208532364
"('890.1',)",11947.035120714785
"('888.1',)",10182.744096383689
"('848.1',)",6893.355399248387
"('848.2',)",6498.730176067161
"('852r.2',)",4460.681766922247
"('838.2',)",3984.29051376066
"('864.1',)",3862.271927142443
"('856.2',)",3378.9275871485734
"('852.3',)",3245.1436852174274
"('852r.1',)",2898.835710251866
"('848.3',)",2558.950536289541
"('846.3',)",2404.0410159426833
"('846.2',)",2199.4059578890724
"('846.1',)",2119.1165236348984
"('844.3',)",1973.117114028432
"('844.2',)",1927.609200395438
"('862.3',)",1592.2411316629982
"('844.1',)",1520.491457816199
"('862.2',)",1481.6367470544374
"('862.1',)",1438.2372437685046
"('840.3',)",1187.2699032623702
"('840.2',)",1161.552408638717
"('840.1',)",1112.8963381108515
"('836.3',)",1037.7841204251047
"('836.2',)",899.388429925901
"('836.1',)",759.1497175079251
"('842.3',)",657.9789565338526
"('860.2',)",491.27256691707015
"('834.3',)",480.05939208679314
"('842.2',)",464.85155763804363
"('842.1',)",426.42792044975624
"('860.3',)",386.7750551617793
"('834.2',)",383.90618843159365
"('860.1',)",379.83199582319503
"('834.1',)",358.39365266114294
"('858.3',)",334.795296970969
"('832.2',)",321.5043541590722
"('858.2',)",300.9929450910855
"('858.1',)",294.91179462835476
"('832.3',)",282.91722550432564
"('830.3',)",230.44248637962895
"('854.1',)",213.18316357221246
"('830.1',)",197.81559858770686
"('832.1',)",195.01278874398963
"('854.3',)",194.26470447116532
"('854.2',)",189.9823068648397
"('828.2',)",178.1347335562671
"('830.2',)",139.36088365568918
"('818.1',)",133.5795334620568
"('828.3',)",119.4145139609199
"('822.1',)",117.20326164955424
"('828.1',)",105.95428805999741
"('826.2',)",99.82241636935379
"('824.1',)",85.37104785756152
"('824.2',)",76.10139172621639
"('824.3',)",74.59303665910069
"('820.1',)",73.7393629534898
"('816.1',)",68.70209337709402
"('816.3',)",61.86954085184298
"('814r.2',)",59.66336924255355
"('816.2',)",59.4580848110314
"('850.3',)",54.142145901782065
"('814r.3',)",49.756039655071724
"('850.1',)",46.25253348272281
"('850.2',)",45.870297726300976
"('810.2',)",38.654499382463975
"('808.3',)",37.734119621575545
"('814.3',)",36.02760525869849
"('814.2',)",35.466397454871526
"('808.2',)",35.31856701012401
"('814.1',)",32.7411178779931
"('814r.1',)",32.43062991987134
"('806.3',)",23.62261801280548
"('808.1',)",23.176292452413573
"('812.2',)",22.945651325036614
"('812.3',)",22.829854174786952
"('812.1',)",22.048868940602695
"('802.3',)",17.93338489177617
"('806.1',)",16.13129847826361
"('806.2',)",15.62923303896861
"('802.2',)",11.412113452747079
"('802.1',)",11.066626001665078
"('800.3',)",0.9021148348402693
"('sourcebus.3',)",0.8951340662795026
"('800.2',)",0.6373355117130706
"('sourcebus.2',)",0.6324357599021095
"('800.1',)",0.45070856832035155
"('sourcebus.1',)",0.44723420255575813
