,autovalores
"('sourcebus.1',)",0.48584738187963566
"('sourcebus.2',)",0.7506265016808664
"('sourcebus.3',)",1.0625843909102122
"('800.1',)",0.489620441658236
"('800.2',)",0.7564425969913198
"('800.3',)",1.0708711222346616
"('802.1',)",12.023306023442977
"('802.2',)",12.396944640159385
"('802.3',)",19.49220169504793
"('806.1',)",18.5378751522367
"('806.2',)",19.14373201529581
"('806.3',)",25.17864230612065
"('808.1',)",27.852258723488767
"('808.2',)",40.395296751301366
"('808.3',)",44.83048525033228
"('810.2',)",24.925058750526613
"('812.1',)",45.91437086468355
"('812.2',)",26.157598236276403
"('812.3',)",27.095638022895432
"('814.1',)",42.743378260844565
"('814.2',)",38.84452122811728
"('814.3',)",38.62433407879064
"('814r.1',)",38.481790460469256
"('814r.2',)",65.6484181105205
"('814r.3',)",58.612410748750335
"('850.1',)",54.88356745024989
"('850.2',)",65.04464843820607
"('850.3',)",54.42947502238979
"('816.1',)",58.86136532578789
"('816.2',)",68.74454518143021
"('816.3',)",81.17968298521201
"('818.1',)",74.95736940500315
"('824.1',)",74.2385685151941
"('824.2',)",89.96471613564367
"('824.3',)",100.93503455205494
"('820.1',)",132.01875731126694
"('822.1',)",158.6381640659608
"('826.2',)",108.35112083283276
"('828.1',)",125.30543341293566
"('828.2',)",141.10423865092983
"('828.3',)",164.59522148762633
"('830.1',)",257.2410316604092
"('830.2',)",252.96491338635565
"('830.3',)",235.01925098525078
"('854.1',)",211.4950054678324
"('854.2',)",214.05077595192472
"('854.3',)",215.56140457808672
"('832.1',)",229.90356968179736
"('832.2',)",329.49726439742807
"('832.3',)",336.10087468550466
"('858.1',)",356.41437095950124
"('858.2',)",375.04394070092604
"('858.3',)",379.29086803515617
"('834.1',)",526.8483718312148
"('834.2',)",453.8101685989069
"('834.3',)",425.785421225739
"('860.1',)",436.90616231817285
"('860.2',)",418.7799772789778
"('860.3',)",492.85113544639364
"('842.1',)",771.7386840376502
"('842.2',)",543.165934446714
"('842.3',)",544.1577556137339
"('836.1',)",890.02969952014
"('836.2',)",978.6303423658842
"('836.3',)",1143.7697945230798
"('840.1',)",1327.3028601130336
"('840.2',)",1281.9670576066367
"('840.3',)",1296.229320772622
"('862.1',)",1690.2869627073026
"('862.2',)",1745.251295436354
"('862.3',)",1797.7359795624918
"('844.1',)",1859.4296582594172
"('844.2',)",2180.0982899320315
"('844.3',)",43737.98987999521
"('846.1',)",55879.75534063777
"('846.2',)",2439.7804311057894
"('846.3',)",2789.800437943158
"('848.1',)",8112.3238325145585
"('848.2',)",2872.272055752131
"('848.3',)",7507.872540913013
"('852r.1',)",39312.39727399998
"('852r.2',)",31983.734381380837
"('852r.3',)",5139.75801908694
"('888.1',)",2534.244548551626
"('888.2',)",3359.787313276288
"('888.3',)",11733.75713168598
"('856.2',)",3872.318520756998
"('852.1',)",2284.6733472048168
"('852.2',)",3509.609750659336
"('852.3',)",4554.995680679206
"('864.1',)",4424.629368856795
"('838.2',)",15478.971998913401
"('890.1',)",17683.998568017847
"('890.2',)",14069.775127508141
"('890.3',)",17322.261506234518
