,autovalores
"('888.2',)",38101.130592824156
"('856.2',)",32840.961715643985
"('852.3',)",25376.041967345715
"('888.1',)",21509.792607377305
"('890.2',)",14012.87814647485
"('890.1',)",13610.332950774877
"('852.2',)",12131.235551389433
"('890.3',)",7106.229031897466
"('852r.3',)",6423.179339343076
"('852r.1',)",4141.566909032105
"('852r.2',)",4091.977450949706
"('888.3',)",3066.890637255427
"('852.1',)",2845.5481119462984
"('848.3',)",2541.4830531223874
"('848.2',)",2282.586926421749
"('838.2',)",2098.607672429696
"('846.3',)",1916.5628872280245
"('846.2',)",1704.6092801771726
"('846.1',)",1550.1868328552625
"('844.3',)",1440.93702631712
"('864.1',)",1349.1923453918455
"('844.2',)",1278.5299471591497
"('844.1',)",1143.1175739503894
"('848.1',)",969.381598723407
"('862.2',)",911.1257627756647
"('862.3',)",908.4866918587692
"('862.1',)",891.140610219281
"('840.3',)",880.3571714732461
"('840.2',)",810.4313344876526
"('840.1',)",741.863851118079
"('836.3',)",685.3821958928493
"('836.2',)",650.8571697412241
"('836.1',)",465.7517117588515
"('842.3',)",401.6422348786401
"('842.1',)",360.5019327709726
"('842.2',)",354.12105059619074
"('860.2',)",302.4782278971967
"('860.3',)",299.6619439978206
"('860.1',)",273.86047597259187
"('834.3',)",240.1626410778
"('834.1',)",228.15111481870892
"('834.2',)",225.08068659933215
"('858.3',)",209.56113600492804
"('858.2',)",196.48692371600396
"('858.1',)",196.29791532837942
"('832.3',)",177.18296720028744
"('832.2',)",166.88743213334186
"('854.3',)",161.99526172912294
"('832.1',)",135.91718359336187
"('854.1',)",130.46026481338635
"('828.3',)",124.83319283015163
"('854.2',)",116.33270907606935
"('828.1',)",115.63007793169318
"('826.2',)",104.33922633619328
"('830.3',)",83.5316847649036
"('820.1',)",80.31157036169962
"('824.2',)",78.20508611713477
"('830.1',)",75.93061556710765
"('830.2',)",72.96827798131622
"('828.2',)",71.51725220691861
"('822.1',)",70.8767590177041
"('824.3',)",62.70627743802618
"('824.1',)",51.18574884857401
"('816.3',)",46.04584500187646
"('818.1',)",45.812330283773875
"('850.1',)",44.96628982886617
"('816.1',)",42.03971442587158
"('850.3',)",40.76110267678762
"('816.2',)",40.75318180019141
"('814r.3',)",30.456376507912545
"('814r.2',)",27.197761307861672
"('850.2',)",26.975155803649322
"('814r.1',)",26.376091516364884
"('812.1',)",22.81613836241914
"('810.2',)",22.366618833152245
"('808.1',)",22.011360888218523
"('812.3',)",21.163828391987952
"('814.1',)",19.428337696746116
"('814.3',)",19.220363782278305
"('812.2',)",17.575036297941217
"('814.2',)",17.417718324490075
"('806.3',)",14.142692115435576
"('806.2',)",13.665696462562748
"('808.3',)",13.419286609235709
"('808.2',)",12.971287283299548
"('802.3',)",9.55675900519466
"('806.1',)",9.285589317698005
"('802.2',)",8.662815686701709
"('802.1',)",8.386690449605105
"('800.3',)",0.5300436134069315
"('sourcebus.3',)",0.5259426287178378
"('800.2',)",0.37746335423873045
"('sourcebus.2',)",0.3745652550906075
"('800.1',)",0.3421024674924472
"('sourcebus.1',)",0.33945958220706113
