,autovalores
"('890.1',)",30328.760200164823
"('856.2',)",26130.372997543116
"('888.3',)",20721.650038324286
"('890.3',)",10813.257615133516
"('852.2',)",10670.307045655274
"('838.2',)",9913.76497652921
"('852.1',)",8392.018423546406
"('852r.3',)",3618.300653524626
"('852r.1',)",3467.6919419100896
"('890.2',)",2375.377774210197
"('888.1',)",2155.2701353960483
"('888.2',)",2053.881799576828
"('852r.2',)",1806.873838320971
"('848.3',)",1395.996592578757
"('848.2',)",1340.2150962827266
"('848.1',)",1209.25627989835
"('864.1',)",1038.3278570689918
"('846.3',)",1008.0884384885951
"('846.2',)",880.1799860521721
"('844.1',)",757.5618016335337
"('844.2',)",741.2456591658537
"('862.3',)",676.9784163301207
"('846.1',)",607.6729415378867
"('844.3',)",587.8112567458343
"('862.2',)",552.7011253097329
"('862.1',)",497.40364062186205
"('852.3',)",477.8372881430888
"('840.3',)",475.5495258254462
"('840.2',)",466.5519600979865
"('840.1',)",443.9879971940924
"('836.3',)",398.2977471978272
"('836.2',)",326.4377434444136
"('836.1',)",260.71521495780365
"('860.3',)",248.05248677353626
"('842.1',)",223.2166571309363
"('842.2',)",212.04284729366165
"('842.3',)",210.57967654069054
"('860.2',)",188.1313947503464
"('860.1',)",151.9636218743849
"('834.3',)",138.62487837298744
"('834.2',)",120.91542667252136
"('858.3',)",116.24382841522426
"('834.1',)",106.77170626746799
"('858.1',)",104.07007855905213
"('832.3',)",100.92419093693296
"('832.1',)",99.52035858483632
"('858.2',)",89.61760558650141
"('832.2',)",84.00228313902235
"('830.3',)",78.71579268179894
"('854.1',)",77.4460206924251
"('854.3',)",69.07801413696426
"('854.2',)",66.24848867033178
"('828.2',)",62.08134358904615
"('830.2',)",60.512087346108565
"('828.1',)",57.37938541665718
"('830.1',)",52.721809360774344
"('822.1',)",51.95488094492493
"('826.2',)",48.06311320827817
"('828.3',)",41.03480729631772
"('818.1',)",38.96995670013992
"('820.1',)",36.74941079839381
"('824.3',)",32.19671946108047
"('824.2',)",31.959346738025513
"('816.1',)",31.347884381999293
"('824.1',)",28.902576557419305
"('816.3',)",26.0918104867341
"('816.2',)",24.387961604899143
"('850.3',)",22.104800678693678
"('850.2',)",20.783508612533016
"('850.1',)",19.27293641760001
"('814.3',)",14.421433775849794
"('814r.1',)",13.981909538480197
"('814r.3',)",13.88202666358438
"('814.2',)",12.1910026392606
"('814r.2',)",12.049939413672645
"('810.2',)",12.03872644445933
"('808.3',)",11.176834767023955
"('808.2',)",10.931422339862749
"('812.3',)",10.696616785083771
"('812.2',)",9.472112277234347
"('812.1',)",9.40358768470486
"('814.1',)",9.38419072304138
"('802.3',)",7.121546948558501
"('808.1',)",6.903494423982985
"('806.3',)",6.666782194305516
"('806.1',)",5.991282083864491
"('806.2',)",5.829635809688648
"('802.2',)",4.666108751847062
"('802.1',)",4.522858054888365
"('800.3',)",0.27258155326767347
"('sourcebus.3',)",0.2704761086126858
"('800.2',)",0.23654757440596963
"('sourcebus.2',)",0.23472032750523278
"('800.1',)",0.1842765035081544
"('sourcebus.1',)",0.18285749144773047
