,autovalores
"('sourcebus.1',)",0.06717460499131621
"('sourcebus.2',)",0.09340711952730779
"('sourcebus.3',)",0.14135787640309583
"('800.1',)",0.06769561207385269
"('800.2',)",0.09413609442765207
"('800.3',)",0.14245858465188943
"('802.1',)",1.663905886058452
"('802.2',)",1.7143493339004157
"('802.3',)",2.6468993203776887
"('806.1',)",2.384410332491203
"('806.2',)",2.3154181428219283
"('806.3',)",3.946486466014796
"('808.1',)",4.0358699344137055
"('808.2',)",4.591010748481644
"('808.3',)",3.4826575122391423
"('810.2',)",3.8146935616800746
"('812.1',)",3.6100138580744754
"('812.2',)",3.448304862894077
"('812.3',)",3.4929175232563336
"('814.1',)",4.845441034098898
"('814.2',)",5.411381893970747
"('814.3',)",5.375814836341673
"('814r.1',)",4.795882141715898
"('814r.2',)",7.5198324127606275
"('814r.3',)",7.319331203274959
"('850.1',)",8.18134736514913
"('850.2',)",7.260986757468435
"('850.3',)",9.126921857176272
"('816.1',)",14.05657843486581
"('816.2',)",10.993373517790605
"('816.3',)",17.699066060139987
"('818.1',)",11.729235497565812
"('824.1',)",11.402080445525543
"('824.2',)",12.739690101828785
"('824.3',)",19.549326805543714
"('820.1',)",20.73026448274429
"('822.1',)",15.149030263865757
"('826.2',)",22.640186258089997
"('828.1',)",16.98000278821475
"('828.2',)",21.782268591706615
"('828.3',)",19.27767416633406
"('830.1',)",21.051699193443245
"('830.2',)",29.731962044175216
"('830.3',)",37.917438493999924
"('854.1',)",37.58176441256934
"('854.2',)",36.143274590560814
"('854.3',)",31.004826475859847
"('832.1',)",31.840826143447437
"('832.2',)",33.68501406267939
"('832.3',)",46.702257723168906
"('858.1',)",44.106440790006445
"('858.2',)",41.255799379846
"('858.3',)",46.18786359529407
"('834.1',)",50.453693745957956
"('834.2',)",69.8125984577454
"('834.3',)",57.065613760512484
"('860.1',)",56.64380934223378
"('860.2',)",81.50074733480442
"('860.3',)",94.36494316736598
"('842.1',)",118.56678025317184
"('842.2',)",107.43736818838094
"('842.3',)",139.87683759054502
"('836.1',)",120.101074301712
"('836.2',)",130.71588813062897
"('836.3',)",150.58975975391155
"('840.1',)",166.90576894712441
"('840.2',)",186.23214482409466
"('840.3',)",193.8218589719227
"('862.1',)",211.64801662531704
"('862.2',)",225.78627046695098
"('862.3',)",295.98861819007504
"('844.1',)",257.584111488771
"('844.2',)",242.54478449864627
"('844.3',)",252.2334293570663
"('846.1',)",322.5786163343418
"('846.2',)",341.32488880534453
"('846.3',)",387.8694817656423
"('848.1',)",501.3464371298759
"('848.2',)",613.0432501618312
"('848.3',)",696.0296579472731
"('852r.1',)",756.7072654182736
"('852r.2',)",1062.4121851670886
"('852r.3',)",1504.2578681226294
"('888.1',)",15914.417264053092
"('888.2',)",18707.608006046397
"('888.3',)",3850.8328982855223
"('856.2',)",1379.1380808067825
"('852.1',)",4829.099661317953
"('852.2',)",4029.9735753207306
"('852.3',)",422.37395424205715
"('864.1',)",424.58000638627
"('838.2',)",861.1060157067039
"('890.1',)",6904.379774753075
"('890.2',)",25336.514775921478
"('890.3',)",1259.0222287909874
