,autovalores
"('sourcebus.1',)",0.034797715946462325
"('sourcebus.2',)",0.04825347496592228
"('sourcebus.3',)",0.03506758898135876
"('800.1',)",0.09401462573050429
"('800.2',)",0.04863007508012919
"('800.3',)",0.09474817985091073
"('802.1',)",0.8623387707772657
"('802.2',)",0.8881058047255694
"('802.3',)",1.378624271012899
"('806.1',)",1.2318450788600481
"('806.2',)",1.196241391389233
"('806.3',)",1.9992263526016751
"('808.1',)",2.043823055830679
"('808.2',)",2.374301128177596
"('808.3',)",1.8046040191896446
"('810.2',)",1.9686302360618757
"('812.1',)",1.786432364979589
"('812.2',)",2.79870611299847
"('812.3',)",2.5032545195769034
"('814.1',)",3.551398093201166
"('814.2',)",2.323512035019502
"('814.3',)",2.401904074683393
"('814r.1',)",2.477798291902937
"('814r.2',)",3.8893349057166735
"('814r.3',)",4.247812204381539
"('850.1',)",7.195420355516411
"('850.2',)",4.869001707492273
"('850.3',)",4.738366246321692
"('816.1',)",4.831306935308962
"('816.2',)",5.894705472743757
"('816.3',)",9.430100136671209
"('818.1',)",7.256809393981612
"('824.1',)",6.573896738418545
"('824.2',)",6.781210265520883
"('824.3',)",10.502271529889894
"('820.1',)",11.228177613745435
"('822.1',)",7.859263108623323
"('826.2',)",13.093630248393568
"('828.1',)",12.49037638849393
"('828.2',)",12.825759823547346
"('828.3',)",10.892382066135983
"('830.1',)",11.279076390422071
"('830.2',)",15.32799960867977
"('830.3',)",15.903162864714744
"('854.1',)",18.955847985022476
"('854.2',)",19.215424395441005
"('854.3',)",17.41039125918191
"('832.1',)",23.325056532716783
"('832.2',)",21.6969080821904
"('832.3',)",21.620082984927564
"('858.1',)",27.50522664262798
"('858.2',)",21.206093806208983
"('858.3',)",24.16162810540181
"('834.1',)",30.894411129242776
"('834.2',)",38.551986872607486
"('834.3',)",35.09474892398036
"('860.1',)",60.784387857981876
"('860.2',)",42.40574874493122
"('860.3',)",46.14978311747503
"('842.1',)",58.983898980891524
"('842.2',)",64.08930647365568
"('842.3',)",78.53184863756215
"('836.1',)",80.4722647979722
"('836.2',)",79.42163315653059
"('836.3',)",84.59122333841248
"('840.1',)",97.87039190118921
"('840.2',)",100.50390534783335
"('840.3',)",103.42538169204741
"('862.1',)",125.17171445576419
"('862.2',)",132.49155330362527
"('862.3',)",137.06613975997686
"('844.1',)",140.65732045412756
"('844.2',)",150.02822292569712
"('844.3',)",171.00068325446756
"('846.1',)",176.0007469013753
"('846.2',)",206.57127332211732
"('846.3',)",217.63812971699454
"('848.1',)",349.2293493010546
"('848.2',)",270.8378022214854
"('848.3',)",390.8892373315737
"('852r.1',)",502.8631706407908
"('852r.2',)",256.2347422750117
"('852r.3',)",647.6271393660512
"('888.1',)",1950.060784408155
"('888.2',)",929.9110901777743
"('888.3',)",2309.4454316462134
"('856.2',)",2679.9285209530603
"('852.1',)",12737.40944786259
"('852.2',)",14734.92749697164
"('852.3',)",446.51610759628295
"('864.1',)",736.1876263190405
"('838.2',)",4909.703136561847
"('890.1',)",794.447532772771
"('890.2',)",262.46252898672367
"('890.3',)",22123.163094343625
